Permno,Date,Price,Return
29890,20060103,66.42,0.034257
29890,20060104,66.85,0.006474
29890,20060105,66.5,-0.005236
29890,20060106,68,0.022556
29890,20060109,68.11,0.001618
29890,20060110,68.18,0.001028
29890,20060111,67.9,-0.004107
29890,20060112,67.95,0.000736
29890,20060113,69.72,0.026049
29890,20060117,70.41,0.009897
29890,20060118,69.48,-0.013208
29890,20060119,70.29,0.011658
29890,20060120,70.18,-0.001565
29890,20060123,70.75,0.008122
29890,20060124,70.54,-0.002968
29890,20060125,70.13,-0.005812
29890,20060126,70.04,-0.001283
29890,20060127,71.01,0.013849
29890,20060130,72.27,0.017744
29890,20060131,72.31,0.000553
29890,20060201,71.12,-0.016457
29890,20060202,69.61,-0.021232
29890,20060203,69.14,-0.006752
29890,20060206,69.97,0.012005
29890,20060207,67.5,-0.035301
29890,20060208,67.2,-0.004444
29890,20060209,67.26,0.000893
29890,20060210,67.38,0.001784
29890,20060213,67.3,-0.001187
29890,20060214,67.09,-0.00312
29890,20060215,67.2,0.00164
29890,20060216,68.41,0.018006
29890,20060217,68.51,0.001462
29890,20060221,69.2,0.010071
29890,20060222,67.81,-0.011958
29890,20060223,67.4,-0.006046
29890,20060224,67.6,0.002967
29890,20060227,67,-0.008876
29890,20060228,66.42,-0.008657
29890,20060301,67.18,0.011442
29890,20060302,66.91,-0.004019
29890,20060303,67.15,0.003587
29890,20060306,66.22,-0.01385
29890,20060307,66.02,-0.00302
29890,20060308,66.12,0.001515
29890,20060309,66.01,-0.001664
29890,20060310,66.42,0.006211
29890,20060313,67.59,0.017615
29890,20060314,68.53,0.013907
29890,20060315,69.92,0.020283
29890,20060316,69.9,-0.000286
29890,20060317,69.53,-0.005293
29890,20060320,68.75,-0.011218
29890,20060321,68.25,-0.007273
29890,20060322,68.67,0.006154
29890,20060323,68.5,-0.002476
29890,20060324,69.48,0.014307
29890,20060327,69.53,0.00072
29890,20060328,68.95,-0.008342
29890,20060329,69.78,0.012038
29890,20060330,69.77,-0.000143
29890,20060331,68.94,-0.011896
29890,20060403,69.68,0.010734
29890,20060404,70.3,0.008898
29890,20060405,71.04,0.010526
29890,20060406,70.55,-0.006897
29890,20060407,70.91,0.005103
29890,20060410,72.32,0.019884
29890,20060411,72.39,0.000968
29890,20060412,72.26,-0.001796
29890,20060413,72.21,-0.000692
29890,20060417,72.95,0.010248
29890,20060418,75.08,0.029198
29890,20060419,75.77,0.00919
29890,20060420,74.91,-0.01135
29890,20060421,76.3,0.018556
29890,20060424,75.82,-0.006291
29890,20060425,74.88,-0.012398
29890,20060426,73.74,-0.015224
29890,20060427,73.71,-0.000407
29890,20060428,73.72,0.000136
29890,20060501,74.4,0.009224
29890,20060502,76.3,0.025538
29890,20060503,75.05,-0.016383
29890,20060504,75.26,0.002798
29890,20060505,76.47,0.016078
29890,20060508,75.62,-0.011115
29890,20060509,76.27,0.008596
29890,20060510,76.34,0.008293
29890,20060511,75.52,-0.010741
29890,20060512,74.64,-0.011653
29890,20060515,73.45,-0.015943
29890,20060516,72.83,-0.008441
29890,20060517,70.43,-0.032953
29890,20060518,69.85,-0.008235
29890,20060519,70.83,0.01403
29890,20060522,70.19,-0.009036
29890,20060523,70.75,0.007978
29890,20060524,69.54,-0.017102
29890,20060525,71.62,0.029911
29890,20060526,71.62,0
29890,20060530,70.16,-0.020385
29890,20060531,70.7,0.007697
29890,20060601,71.08,0.005375
29890,20060602,71.9,0.011536
29890,20060605,70.82,-0.015021
29890,20060606,70.06,-0.010731
29890,20060607,68.54,-0.021696
29890,20060608,68.18,-0.005252
29890,20060609,67.48,-0.010267
29890,20060612,66.47,-0.014967
29890,20060613,64.67,-0.02708
29890,20060614,65.18,0.007886
29890,20060615,67.07,0.028997
29890,20060616,66.7,-0.005517
29890,20060619,65.33,-0.02054
29890,20060620,65.7,0.005663
29890,20060621,67.01,0.019939
29890,20060622,66.39,-0.009252
29890,20060623,67.03,0.00964
29890,20060626,67.47,0.006564
29890,20060627,66.96,-0.007559
29890,20060628,67.97,0.015084
29890,20060629,69.25,0.018832
29890,20060630,69.61,0.005199
29890,20060703,70.36,0.010774
29890,20060705,70.02,-0.004832
29890,20060706,70.21,0.002714
29890,20060707,71.15,0.013388
29890,20060710,70.9,-0.003514
29890,20060711,71.37,0.006629
29890,20060712,70.35,-0.014292
29890,20060713,70.98,0.008955
29890,20060714,71.37,0.005494
29890,20060717,69.58,-0.025081
29890,20060718,69.5,-0.00115
29890,20060719,69.68,0.00259
29890,20060720,68.6,-0.015499
29890,20060721,68.19,-0.005977
29890,20060724,69.74,0.022731
29890,20060725,69.51,-0.003298
29890,20060726,70.8,0.018558
29890,20060727,71.77,0.0137
29890,20060728,72.38,0.008499
29890,20060731,72.52,0.001934
29890,20060801,72.5,-0.000276
29890,20060802,72.78,0.003862
29890,20060803,72,-0.010717
29890,20060804,72.54,0.0075
29890,20060807,70.45,-0.028812
29890,20060808,70.14,-0.0044
29890,20060809,70.26,0.010116
29890,20060810,69.76,-0.007116
29890,20060811,69.32,-0.006307
29890,20060814,69.3,-0.000288
29890,20060815,69.84,0.007792
29890,20060816,68.53,-0.018757
29890,20060817,69.04,0.007442
29890,20060818,69.97,0.01347
29890,20060821,70.22,0.003573
29890,20060822,69.85,-0.005269
29890,20060823,69.12,-0.010451
29890,20060824,68.93,-0.002749
29890,20060825,68.31,-0.008995
29890,20060828,68.3,-0.000146
29890,20060829,67.3,-0.014641
29890,20060830,67.82,0.007727
29890,20060831,68.05,0.003391
29890,20060901,68,-0.000735
29890,20060905,68.6,0.008824
29890,20060906,66.93,-0.024344
29890,20060907,65.76,-0.017481
29890,20060908,65.82,0.000912
29890,20060911,64.89,-0.014129
29890,20060912,65.26,0.005702
29890,20060913,66.65,0.021299
29890,20060914,65.85,-0.012003
29890,20060915,64.86,-0.015034
29890,20060918,65.55,0.010638
29890,20060919,65.2,-0.00534
29890,20060920,65,-0.003067
29890,20060921,65.96,0.014769
29890,20060922,65.2,-0.011522
29890,20060925,65.06,-0.002147
29890,20060926,65.08,0.000307
29890,20060927,66.2,0.01721
29890,20060928,65.8,-0.006042
29890,20060929,65.58,-0.003343
29890,20061002,65.38,-0.00305
29890,20061003,63.72,-0.02539
29890,20061004,65.05,0.020873
29890,20061005,64.82,-0.003536
29890,20061006,64.69,-0.002006
29890,20061009,64.32,-0.00572
29890,20061010,64.53,0.003265
29890,20061011,63.86,-0.010383
29890,20061012,65.07,0.018948
29890,20061013,65.97,0.013831
29890,20061016,67.53,0.023647
29890,20061017,67.76,0.003406
29890,20061018,66.55,-0.017857
29890,20061019,68.08,0.02299
29890,20061020,67.8,-0.004113
29890,20061023,67.86,0.000885
29890,20061024,68.3,0.006484
29890,20061025,69.22,0.01347
